month,stock_label,quintile,ew_return,n,holding_month
2016-10,information,4,0.013537628352261815,7,2016-11
2016-10,information,5,-0.023742560929908882,8,2016-11
2016-11,attention,1,-0.023247991004943465,53,2016-12
2016-11,attention,2,-0.0394641200763971,53,2016-12
2016-11,attention,3,-0.036600746955316794,53,2016-12
2016-11,attention,4,-0.046721153562135256,53,2016-12
2016-11,attention,5,-0.04221628291138381,53,2016-12
2016-11,baseline,1,-0.03684353415117419,466,2016-12
2016-11,baseline,2,-0.04854289989868198,467,2016-12
2016-11,baseline,3,-0.04924866660035614,466,2016-12
2016-11,baseline,4,-0.052943036133801365,467,2016-12
2016-11,baseline,5,-0.048462974326225254,467,2016-12
2016-11,information,1,0.004824259131633424,1,2016-12
2016-11,information,2,-0.07300884955752218,1,2016-12
2016-11,information,3,0.04042806183115344,1,2016-12
2016-11,information,4,-0.07277628032345007,1,2016-12
2016-11,information,5,-0.09525896261980304,2,2016-12
2016-12,attention,1,-0.028012819755249246,40,2017-01
2016-12,attention,2,0.001849808850679554,41,2017-01
2016-12,attention,3,0.015042255017428093,41,2017-01
2016-12,attention,4,-0.023819036220953976,41,2017-01
2016-12,attention,5,-0.007348935108226402,41,2017-01
2016-12,baseline,1,-0.032174754873151364,483,2017-01
2016-12,baseline,2,-0.022257038282923382,483,2017-01
2016-12,baseline,3,-0.02132498343154065,484,2017-01
2016-12,baseline,4,-0.019811252341721836,483,2017-01
2016-12,baseline,5,-0.019569606908804157,484,2017-01
2016-12,information,2,-0.040298507462686595,1,2017-01
2016-12,information,4,-0.05067920585161978,1,2017-01
2016-12,information,5,-0.05675853018372701,1,2017-01
2017-01,attention,1,0.051302634063726135,29,2017-02
2017-01,attention,2,0.04619497552598142,29,2017-02
2017-01,attention,3,0.012744773268270834,29,2017-02
2017-01,attention,4,0.018000056388277123,29,2017-02
2017-01,attention,5,0.023635308268311794,29,2017-02
2017-01,baseline,1,0.04194673712056326,488,2017-02
2017-01,baseline,2,0.04530041692245031,488,2017-02
2017-01,baseline,3,0.03862391752179832,488,2017-02
2017-01,baseline,4,0.03585990210450197,488,2017-02
2017-01,baseline,5,0.038800070802023294,488,2017-02
2017-01,information,1,0.07718775063164977,7,2017-02
2017-01,information,2,0.01134849180180099,7,2017-02
2017-01,information,3,0.04923100949046682,7,2017-02
2017-01,information,4,0.06369052441291682,7,2017-02
2017-01,information,5,0.04500835876151703,8,2017-02
2017-02,attention,1,-0.03701813141939331,35,2017-03
2017-02,attention,2,-0.02301227836263369,35,2017-03
2017-02,attention,3,-0.012551071824661239,35,2017-03
2017-02,attention,4,-0.005726501381020285,35,2017-03
2017-02,attention,5,0.0019049381142126065,36,2017-03
2017-02,baseline,1,-0.03215066863296566,482,2017-03
