month,holding_month,stock_label,1,2,3,4,5,q5_minus_q1
2018-03,2018-04,baseline,-0.0633100094136332,-0.041844487750879414,-0.03981366787753379,-0.03260804257748563,-0.028114857974829807,0.03519515143880339
2018-03,2018-04,information,-0.06035655920236781,-0.02958932224139702,0.006425239372560781,-0.03162393071188492,-0.013906684638195704,0.0464498745641721
2018-04,2018-05,attention,-0.03522162209387413,-0.008728556812512335,-0.017124904904077205,-0.007872351010627516,0.0021366306466278867,0.037358252740502015
2018-04,2018-05,baseline,-0.029735252572225184,-0.014884374923387188,-0.0067289017229447325,-0.005141998647586494,0.002018192417032029,0.03175344498925721
2018-04,2018-05,information,0.013214004823216908,-0.01404792366162988,0.031549510197293136,0.0012050362196138345,0.0037612714762139225,-0.009452733347002985
2018-05,2018-06,attention,-0.11959828881780743,-0.11451586315791193,-0.11796151626609624,-0.11685939241870155,-0.11051594651027731,0.00908234230753012
2018-05,2018-06,baseline,-0.10735611996440857,-0.10603122938259472,-0.10431531932152036,-0.10330486496416534,-0.10375117037849367,0.003604949585914896
2018-05,2018-06,information,-0.10212412077012084,-0.1199229858652759,-0.09049477079836772,-0.15323910301428956,-0.10003984496863079,0.0020842758014900514
2018-06,2018-07,attention,-0.027641903364704252,0.01706266113468423,0.015010790220696686,0.01833558362637985,-0.02729391162846574,0.0003479917362385135
2018-06,2018-07,baseline,-0.016880035477698178,0.013108233979121413,0.014452321343207867,0.01784976831917542,0.006347799468504095,0.023227834946202272
2018-06,2018-07,information,0.014069384274149102,-0.007351619512900476,0.008578234131667884,0.02111951297117635,-0.03986261225158562,-0.05393199652573472
2018-07,2018-08,attention,-0.0930106840316454,-0.07168620058756282,-0.05527218772022057,-0.06416361132466526,-0.059137524143651865,0.03387315988799354
2018-07,2018-08,baseline,-0.10023878072279689,-0.07816402301041885,-0.07618468241985064,-0.07053647505703799,-0.07497331979632542,0.025265460926471472
2018-07,2018-08,information,-0.07391038181035872,-0.059886122695058795,-0.0702403312748432,-0.08287594049149115,-0.06988604328667893,0.004024338523679796
2018-08,2018-09,attention,0.0011243477761545446,0.0007477770145620264,-0.010595080892377585,-0.004250526918989901,0.01901003756639392,0.017885689790239374
2018-08,2018-09,baseline,-0.004266563231898288,-0.0020956526770838143,-0.0035593810442099095,-0.004541596228944565,-0.00013713334859921495,0.004129429883299073
2018-08,2018-09,information,0.026574055738056445,-0.010463041507199981,-0.0022032855463590562,-0.002520747477116811,0.03334533745986077,0.006771281721804325
2018-09,2018-10,attention,-0.11586534538758735,-0.10930232883691644,-0.08380476768134196,-0.08408956968156252,-0.08493708623712919,0.03092825915045816
2018-09,2018-10,baseline,-0.09920680559367412,-0.09482005145876354,-0.08780721684874464,-0.09757221803177493,-0.09026342476855789,0.008943380825116226
2018-09,2018-10,information,-0.11361227988156458,-0.05198105509738904,-0.08729135396374249,-0.09533059434604896,-0.11119122606927474,0.002421053812289839
2018-10,2018-11,attention,0.03780686057200528,0.030408066078436293,0.03577950901963369,0.06497192061144963,0.04439269932513073,0.0065858387531254475
2018-10,2018-11,baseline,0.04447806332350593,0.06377958679905371,0.06012744815507586,0.06962362188829298,0.07131359364273368,0.02683553031922775
2018-10,2018-11,information,0.030603169713293344,0.04484333281612369,0.06145795980435157,0.04791177941898999,0.04148969152653116,0.010886521813237817
2018-11,2018-12,attention,-0.060059821998609084,-0.041576171393406205,-0.039246897272010854,-0.045953559477450195,-0.049313031445885405,0.010746790552723678
2018-11,2018-12,baseline,-0.042762246286840035,-0.03812410986876992,-0.04278494094585675,-0.03551505136446076,-0.04365956071706746,-0.0008973144302274264
2018-11,2018-12,information,,-0.11860595840359756,-0.0781954887218046,-0.06236559139784936,-0.1134615384615385,
2018-12,2019-01,attention,-0.031303513052704686,-0.0014411714499569888,-0.02111267294151337,-0.010673975642746856,0.01188579082829854,0.04318930388100323
2018-12,2019-01,baseline,-0.0666738621266897,-0.01925809771082002,-0.00995429836348777,0.0008247160252382037,-0.012648026672286667,0.05402583545440304
2018-12,2019-01,information,,,0.028901734104046284,,0.168793749258487,
2019-01,2019-02,attention,0.24413628938843696,0.21124839308166976,0.2146870194619371,0.2048450002345239,0.21704048567593734,-0.027095803712499617
2019-01,2019-02,baseline,0.28156654156982797,0.2278920575032946,0.2136753837513428,0.20696256643957178,0.20760674399484977,-0.0739597975749782
2019-01,2019-02,information,0.2184519470067497,0.1829000279003379,0.16583844935082806,0.14799769131064747,0.1662215776414694,-0.052230369365280305
2019-02,2019-03,attention,0.08455207327710951,0.11252774868419799,0.08637672045802672,0.09557166718124653,0.09811608675173451,0.013564013474625006
2019-02,2019-03,baseline,0.09923807693603585,0.11050068969147228,0.09776264574245387,0.12000146261031414,0.11417007649011078,0.014931999554074926
2019-02,2019-03,information,0.04392741564515999,0.09928525491018797,0.11680680287534972,0.08480095218018088,0.07973192235503994,0.035804506709879946
2019-03,2019-04,attention,-0.04237313948452792,-0.02288387038011104,-0.030237853957979798,-0.02185103705727563,-0.03089834477204367,0.011474794712484252
2019-03,2019-04,baseline,-0.07586199944435021,-0.044697553570244054,-0.03170091944744465,-0.022309546482220666,-0.037722233303826985,0.038139766140523224
2019-03,2019-04,information,-0.04214980187906492,0.010989773691492729,-0.003802195725306549,-0.028384553387751484,-0.06149772907365654,-0.01934792719459162
2019-04,2019-05,attention,-0.0666571248999552,-0.04215212185525711,-0.06274759563301756,-0.06261537100146308,-0.05504379608377953,0.011613328816175675
2019-04,2019-05,baseline,-0.06528574388624846,-0.04590900137371495,-0.041659371286215933,-0.04030998217714875,-0.03837667998683707,0.02690906389941139
2019-04,2019-05,information,-0.05684216971278179,-0.0427855148286772,-0.04442312343809132,-0.06476245309536918,-0.06416843539668782,-0.0073262656839060275
2019-05,2019-06,attention,-0.02729953489227421,-0.014313474425135477,0.03183744995049,-0.006275516773959361,-0.060309731667727115,-0.0330101967754529
2019-05,2019-06,baseline,-0.0006501468563477369,0.012711427467107954,0.011239950511020336,0.01376930198329852,0.011936179546547108,0.012586326402894844
2019-05,2019-06,information,-0.011699536624433845,0.01882335558938966,0.023682597082094876,0.019741600260219767,0.0030521983076938586,0.014751734932127704
2019-06,2019-07,attention,-0.04054774442587185,-0.08241337019728426,-0.03447610922660476,-0.021033949767309268,0.04012431055661847,0.08067205498249032
2019-06,2019-07,baseline,-0.036074365138056584,-0.01157865323136423,-0.012973744955605016,-0.007795607599549617,-0.01086892739206327,0.025205437745993313
2019-06,2019-07,information,-0.024632433829560676,0.04106109230583312,-0.029297362722373224,0.027811741815297362,-0.0077811048097977675,0.01685132901976291
2019-07,2019-08,attention,-0.062176537874210756,-0.027738725123358853,0.002057276790854359,-0.014718339135704802,-0.005898265214443333,0.056278272659767425
2019-07,2019-08,baseline,-0.008911641791772486,-0.022503392271244125,-0.015376961236414455,-0.014324248246508216,0.002842453439258528,0.011754095231031013
2019-07,2019-08,information,0.016488418946993225,0.04740785952988683,0.0178073681757539,0.018517541302494406,-0.006351456907547453,-0.022839875854540677
2019-08,2019-09,attention,0.008762952310142813,0.014746919543769966,0.018759719672230973,0.018464705785898754,0.021067938113946427,0.012304985803803613
2019-08,2019-09,baseline,0.007155161451458611,0.016181206361480065,0.01412865299643595,0.01632121224080998,0.018278339300093458,0.011123177848634848
2019-08,2019-09,information,0.0004923385805366268,-0.0030548607637961873,0.026005688448383787,0.01688113808991175,0.016853622640713883,0.016361284060177256
2019-09,2019-10,attention,0.013929260302721527,-0.0026865834673754545,-0.000672314359625146,0.006642083901045392,0.007733280301392608,-0.006195980001328919
2019-09,2019-10,baseline,-0.015432176285482723,-0.000272430490509933,0.0008240198030362732,0.002346708436081455,0.003968547465379313,0.019400723750862037
2019-09,2019-10,information,-0.02485299401459984,-0.007286645567358511,-0.04127982632606031,-0.019415914863756784,-0.058470819240496096,-0.03361782522589626
2019-10,2019-11,attention,-0.07269691888855004,-0.004115395656344469,-0.00845393881547167,0.007675864725709714,-0.007478013791035707,0.06521890509751434
