month,holding_month,stock_label,quintile,ew_cumulative_return,n,horizon_trading_days
2012-03,2012-04,baseline,2,0.032701398598456874,313,1
2012-03,2012-04,baseline,3,0.030429980896603342,312,1
2012-03,2012-04,baseline,4,0.0294869530541663,313,1
2012-03,2012-04,baseline,5,0.029744865791132374,312,1
2012-03,2012-04,information,1,0.035368941917749766,16,1
2012-03,2012-04,information,2,0.03886872378922848,16,1
2012-03,2012-04,information,3,0.02549416075170452,17,1
2012-03,2012-04,information,4,0.02727648327074736,16,1
2012-03,2012-04,information,5,0.03266512059357212,17,1
2012-04,2012-05,attention,1,0.00022625907001209812,25,1
2012-04,2012-05,attention,2,0.0026688619266052394,25,1
2012-04,2012-05,attention,3,0.0058781875968648345,25,1
2012-04,2012-05,attention,4,0.013209793226256674,25,1
2012-04,2012-05,attention,5,0.005652960700080021,26,1
2012-04,2012-05,baseline,1,0.008100936171783372,335,1
2012-04,2012-05,baseline,2,0.011041486984267969,335,1
2012-04,2012-05,baseline,3,0.015210535681165233,335,1
2012-04,2012-05,baseline,4,0.01691158316423105,335,1
2012-04,2012-05,baseline,5,0.017171730400802998,336,1
2012-04,2012-05,information,1,0.0034148416539956277,35,1
2012-04,2012-05,information,2,0.009534732709458286,35,1
2012-04,2012-05,information,3,0.012029741535155259,35,1
2012-04,2012-05,information,4,0.012513614565811532,35,1
2012-04,2012-05,information,5,0.016245806980348932,35,1
2012-05,2012-06,attention,1,0.0036158937543538383,18,1
2012-05,2012-06,attention,2,-0.0038885773514491136,19,1
2012-05,2012-06,attention,3,-0.0029325551556205255,19,1
2012-05,2012-06,attention,4,0.005406579906533125,19,1
2012-05,2012-06,attention,5,-0.004949147908213097,19,1
2012-05,2012-06,baseline,1,-0.0007752599822976881,371,1
2012-05,2012-06,baseline,2,-0.00038935048502297583,372,1
2012-05,2012-06,baseline,3,-0.0025340196089843814,371,1
2012-05,2012-06,baseline,4,-0.001542369834142185,372,1
2012-05,2012-06,baseline,5,-0.004052544094517465,372,1
2012-05,2012-06,information,1,0.006113025774466929,10,1
2012-05,2012-06,information,2,0.0064826288954907725,11,1
2012-05,2012-06,information,3,0.005536639297696847,11,1
2012-05,2012-06,information,4,-0.008148974528055125,11,1
2012-05,2012-06,information,5,-0.00860040842808598,11,1
2012-06,2012-07,attention,1,0.018973994258301645,7,1
2012-06,2012-07,attention,2,0.009243528673205279,7,1
2012-06,2012-07,attention,3,0.012436594732551844,7,1
2012-06,2012-07,attention,4,0.027532212140074192,7,1
2012-06,2012-07,attention,5,0.00267925173368172,8,1
2012-06,2012-07,baseline,1,0.012779967595449162,393,1
2012-06,2012-07,baseline,2,0.01099160283586223,393,1
2012-06,2012-07,baseline,3,0.010630132381998765,393,1
2012-06,2012-07,baseline,4,0.009337051705606838,393,1
2012-06,2012-07,baseline,5,0.007831816054590322,394,1
2012-06,2012-07,information,1,0.03673196537531709,8,1
2012-06,2012-07,information,2,-0.0007143541073726667,8,1
2012-06,2012-07,information,3,0.018152320152665963,8,1
2012-06,2012-07,information,4,0.006689385158819325,8,1
2012-06,2012-07,information,5,0.009471206303437526,9,1
2012-07,2012-08,attention,1,0.019209670228085073,10,1
2012-07,2012-08,attention,2,0.01802163538525402,11,1
2012-07,2012-08,attention,3,0.012034934148554588,10,1
2012-07,2012-08,attention,4,0.013358432869339626,11,1
2012-07,2012-08,attention,5,0.027180369226973058,11,1
2012-07,2012-08,baseline,1,0.018565832515825907,376,1
2012-07,2012-08,baseline,2,0.016107764505758772,376,1
2012-07,2012-08,baseline,3,0.016044873061539712,376,1
2012-07,2012-08,baseline,4,0.015666369246171975,376,1
2012-07,2012-08,baseline,5,0.015279673928253362,376,1
2012-07,2012-08,information,1,0.02129530450020704,27,1
2012-07,2012-08,information,2,0.01879698129173869,28,1
2012-07,2012-08,information,3,0.01959500668681846,27,1
2012-07,2012-08,information,4,0.02191307598173525,28,1
