month,holding_month,1,10,ew_long_short_open_tradable
2013-01,2013-02,0.043421795827046764,0.04756964457790139,0.004147848750854624
2013-02,2013-03,-0.049408171674699124,-0.029962606277956605,0.01944556539674252
2013-03,2013-04,-0.04148374738730233,-0.03272749255762431,0.008756254829678019
2013-04,2013-05,0.13338663476199922,0.14124105580492105,0.007854421042921833
2013-05,2013-06,-0.1257688735684799,-0.15575550864148646,-0.029986635073006557
2013-06,2013-07,0.11316365351233797,0.03756849137141449,-0.07559516214092347
2013-07,2013-08,0.06637846553773345,0.08507524940780409,0.018696783870070635
2013-08,2013-09,0.07152969144752352,0.04865822780396026,-0.022871463643563267
2013-09,2013-10,-0.04729811951507383,-0.01574526488553167,0.03155285462954216
2013-10,2013-11,0.08383037195787445,0.08766242535663345,0.003832053398759
2013-11,2013-12,-0.05818383798535395,-0.044276780933381964,0.01390705705197199
2013-12,2014-01,0.0774210484825985,0.00889748402400245,-0.06852356445859605
2014-01,2014-02,0.022094692745256245,0.04360928547946655,0.021514592734210303
2014-02,2014-03,-0.055266848504137676,-0.05005000475901694,0.005216843745120735
2014-03,2014-04,-0.01932262891735267,-0.007790509752258232,0.011532119165094439
2014-04,2014-05,0.03490181113288971,0.025216863273734014,-0.009684947859155697
2014-05,2014-06,0.04011619147372561,0.05450740861648948,0.014391217142763868
2014-06,2014-07,0.07291893258440657,0.050804923212638166,-0.022114009371768405
2014-07,2014-08,0.04134179872247587,0.05115995204021426,0.009818153317738387
2014-08,2014-09,0.1297043110295982,0.1245056344608018,-0.005198676568796398
2014-09,2014-10,0.0034792858793053936,0.011470217685404335,0.00799093180609894
2014-10,2014-11,0.04513115496753688,0.05556537526754873,0.010434220300011857
2014-11,2014-12,-0.07392840649930384,0.0518721434731663,0.12580054997247014
2014-12,2015-01,0.08151838585044129,0.06643362190667497,-0.015084763943766316
2015-01,2015-02,0.07191635488304107,0.09076356798700085,0.018847213103959773
2015-02,2015-03,0.23124185168582853,0.23168289353009874,0.0004410418442702124
2015-03,2015-04,0.17637572318667213,0.14606630011011215,-0.030309423076559983
2015-04,2015-05,0.2659797211978949,0.23629869228080436,-0.02968102891709057
2015-05,2015-06,-0.15973723696766626,-0.1732969722748299,-0.013559735307163645
2015-06,2015-07,-0.21031485469712435,-0.15026504479730984,0.06004980989981451
2015-07,2015-08,-0.1294180988170427,-0.16082936678187407,-0.031411267964831374
2015-08,2015-09,-0.008580311117108557,-0.042230834384392735,-0.033650523267284176
2015-09,2015-10,0.2460404007174068,0.24395730334284993,-0.0020830973745568637
2015-10,2015-11,0.08361115500229999,0.09449622012536843,0.010885065123068444
2015-11,2015-12,0.04901493974488481,0.037784534934801155,-0.011230404810083652
2015-12,2016-01,-0.29230952466869387,-0.3011265296498361,-0.00881700498114224
2016-01,2016-02,-0.021528435928790324,-0.009899472516716036,0.011628963412074289
2016-02,2016-03,0.18277197362028677,0.1830126782782991,0.00024070465801231955
2016-03,2016-04,-0.022043639500924025,-0.007017820077104397,0.015025819423819628
2016-04,2016-05,-0.01935561633940914,-0.007595667112870308,0.011759949226538832
2016-05,2016-06,0.07260626933769045,0.06430554621988961,-0.008300723117800834
2016-06,2016-07,-0.05759699465789002,-0.026985182798215376,0.030611811859674643
2016-07,2016-08,0.05169972429031229,0.05289383813030894,0.0011941138399966522
2016-08,2016-09,-0.01958278336256055,0.0019851815716686212,0.02156796493422917
2016-09,2016-10,0.04714952244835169,0.028272778752752702,-0.018876743695598986
2016-10,2016-11,0.021828979849432106,0.021841216980089766,1.223713065766005e-05
2016-11,2016-12,-0.03599772097083355,-0.05219645344201798,-0.016198732471184432
2016-12,2017-01,-0.03696649794931096,-0.027986876867771817,0.00897962108153914
2017-01,2017-02,0.04388807187993609,0.0348685610005164,-0.009019510879419691
2017-02,2017-03,-0.03754587532160795,-0.016911152687699414,0.020634722633908534
2017-03,2017-04,-0.10004169663596336,-0.0624936345427078,0.03754806209325556
2017-04,2017-05,-0.10145069920457402,-0.05320090254017217,0.048249796664401844
2017-05,2017-06,0.016494095722214636,0.04020542079023701,0.023711325068022378
2017-06,2017-07,-0.02874141642637232,-0.003875420537273398,0.024865995889098925
2017-07,2017-08,0.02968843372020165,0.030045539245403076,0.0003571055252014274
2017-08,2017-09,-0.0014150421556822237,0.03251955651007669,0.03393459866575891
2017-09,2017-10,-0.057654660165218585,-0.015502930944184704,0.042151729221033885
2017-10,2017-11,-0.08769397950556249,-0.05834855396211106,0.029345425543451424
2017-11,2017-12,-0.018574250872350196,-0.021589913115160272,-0.0030156622428100764
2017-12,2018-01,-0.05647623417702285,-0.03151674494177099,0.02495948923525186
2018-01,2018-02,-0.03894921441463303,-0.03497513208754965,0.003974082327083385
2018-02,2018-03,0.050943926507381804,0.039782588234002186,-0.011161338273379617
2018-03,2018-04,-0.07314747435780188,-0.027444390196427807,0.04570308416137407
2018-04,2018-05,-0.027060610923422268,0.003338595316466953,0.03039920623988922
2018-05,2018-06,-0.10057550404772522,-0.10507117686470645,-0.004495672816981225
2018-06,2018-07,-0.01914633453292892,-0.0014088990173680405,0.01773743551556088
2018-07,2018-08,-0.10512723609429926,-0.07379691987034204,0.031330316223957225
2018-08,2018-09,-0.0003675849527912466,0.0017113831670211937,0.0020789681198124404
2018-09,2018-10,-0.10749509494858168,-0.09080618355312223,0.016688911395459458
2018-10,2018-11,0.03310971498238168,0.07344175017479805,0.04033203519241637
2018-11,2018-12,-0.047624975070032716,-0.04346679900796111,0.004158176062071604
2018-12,2019-01,-0.08586540152581154,-0.010229330650396686,0.07563607087541485
2019-01,2019-02,0.306885175086676,0.21163552122088863,-0.09524965386578738
2019-02,2019-03,0.09727493623479896,0.10250582390128588,0.005230887666486911
2019-03,2019-04,-0.06972949763575675,-0.03033931212737463,0.03939018550838212
2019-04,2019-05,-0.05735868363563764,-0.04643357071674688,0.010925112918890763
2019-05,2019-06,-0.011419633540923858,0.0067454002237658005,0.01816503376468966
2019-06,2019-07,-0.048704275829282447,-0.012640029515619267,0.03606424631366318
2019-07,2019-08,-0.013728008138419737,0.00984464693602457,0.02357265507444431
2019-08,2019-09,-0.004651975650785344,0.015961864420361023,0.020613840071146368
2019-09,2019-10,-0.021330404154195137,-0.00031805344249245235,0.021012350711702685
2019-10,2019-11,-0.04141414888419303,-0.025497170823398797,0.015916978060794233
2019-11,2019-12,0.09367960254454515,0.08462192365378166,-0.00905767889076349
2019-12,2020-01,0.006774358708198485,0.01711216099215609,0.010337802283957606
2020-01,2020-02,0.032923744155998635,0.026960918172435656,-0.005962825983562979
2020-02,2020-03,-0.11381186042461412,-0.052730547775272946,0.06108131264934118
2020-03,2020-04,-0.01266987501670366,0.07218994065913437,0.08485981567583803
2020-04,2020-05,0.0067641107621701,0.0434402796831992,0.036676168921029095
2020-05,2020-06,0.053100884499941874,0.09515551675613271,0.042054632256190834
2020-06,2020-07,0.12567936111030842,0.14521293654124925,0.019533575430940836
2020-07,2020-08,0.007617626197538697,0.026186392006470577,0.01856876580893188
2020-08,2020-09,-0.07175691950612434,-0.07083346990195212,0.000923449604172219
2020-09,2020-10,0.04493226096239582,0.015617922015295745,-0.029314338947100074
2020-10,2020-11,-0.006866947354948694,0.011398356473437185,0.018265303828385877
2020-11,2020-12,-0.0240457847503533,0.00011170217608755762,0.024157486926440857
2020-12,2021-01,-0.11852865832695944,-0.031006244212229965,0.08752241411472947
2021-01,2021-02,0.027085650050735696,0.019769323310862258,-0.007316326739873438
2021-02,2021-03,-0.004796602379751128,-0.017085596470667205,-0.012288994090916078
2021-03,2021-04,-0.01863145921129118,0.04244703140671594,0.06107849061800712
2021-04,2021-05,0.09907883856285146,0.0497053799054651,-0.04937345865738636
2021-05,2021-06,-0.0005964669566908813,0.04600636576086707,0.046602832717557954
2021-06,2021-07,0.023158548884758417,0.03618730174009737,0.013028752855338954
2021-07,2021-08,0.02881093049765636,0.10618620854674714,0.07737527804909078
2021-08,2021-09,-0.04407409808475806,-0.038809983333323556,0.005264114751434505
2021-09,2021-10,-0.014781366100423014,-0.025405931853635332,-0.010624565753212318
2021-10,2021-11,0.05881355463120124,0.1268155792410098,0.06800202460980856
2021-11,2021-12,-0.006151302506817761,0.015131479838200497,0.021282782345018257
2021-12,2022-01,-0.1166850658401483,-0.09559794276033859,0.021087123079809714
2022-01,2022-02,0.047505292917699116,0.052198080775233205,0.004692787857534089
2022-02,2022-03,-0.014622311326251072,-0.07151378729783085,-0.05689147597157978
2022-03,2022-04,-0.19996621064597037,-0.16672407473314083,0.03324213591282954
2022-04,2022-05,0.0938743615096911,0.11809706338545015,0.024222701875759048
2022-05,2022-06,0.052067583363244394,0.0909326138819901,0.03886503051874571
2022-06,2022-07,0.03380849823825511,0.05440056471986479,0.020592066481609682
2022-07,2022-08,-0.0656390948254125,-0.04031750496792959,0.02532158985748291
2022-08,2022-09,-0.10043346232307945,-0.08011411543851367,0.020319346884565784
2022-09,2022-10,0.015132641117432321,0.05053637163764169,0.03540373052020937
