month,decile,stocks,excluded_open_limit,excluded_pct
2015-04,1,232,4,0.017241379310344827
2015-04,10,232,22,0.09482758620689655
2015-05,1,227,2,0.00881057268722467
2015-05,10,228,27,0.11842105263157894
2015-06,1,225,2,0.008888888888888889
2015-06,10,226,7,0.030973451327433628
2015-07,1,218,9,0.04128440366972477
2015-07,10,218,6,0.027522935779816515
2015-08,1,215,10,0.046511627906976744
2015-08,10,216,2,0.009259259259259259
2015-09,1,216,12,0.05555555555555555
2015-09,10,217,4,0.018433179723502304
2015-10,1,222,9,0.04054054054054054
2015-10,10,223,15,0.06726457399103139
2015-11,1,230,3,0.013043478260869565
2015-11,10,231,13,0.05627705627705628
2015-12,1,238,1,0.004201680672268907
2015-12,10,237,7,0.029535864978902954
2016-01,1,240,3,0.0125
2016-01,10,241,3,0.012448132780082987
2016-02,1,241,6,0.024896265560165973
2016-02,10,242,3,0.012396694214876033
2016-03,1,245,6,0.024489795918367346
2016-03,10,246,1,0.0040650406504065045
2016-04,1,247,1,0.004048582995951417
2016-04,10,248,0,0.0
2016-05,1,247,1,0.004048582995951417
2016-05,10,247,4,0.016194331983805668
2016-06,1,252,0,0.0
2016-06,10,253,3,0.011857707509881422
2016-07,1,255,2,0.00784313725490196
2016-07,10,256,1,0.00390625
2016-08,1,256,0,0.0
2016-08,10,257,1,0.0038910505836575876
2016-09,1,258,1,0.003875968992248062
2016-09,10,259,2,0.007722007722007722
2016-10,1,257,1,0.0038910505836575876
2016-10,10,258,2,0.007751937984496124
2016-11,1,260,1,0.0038461538461538464
2016-11,10,261,3,0.011494252873563218
2016-12,1,262,1,0.003816793893129771
2016-12,10,263,1,0.0038022813688212928
2017-01,1,262,0,0.0
2017-01,10,263,0,0.0
2017-02,1,261,0,0.0
2017-02,10,262,2,0.007633587786259542
2017-03,1,263,15,0.057034220532319393
2017-03,10,264,8,0.030303030303030304
2017-04,1,265,5,0.018867924528301886
2017-04,10,266,2,0.007518796992481203
2017-05,1,262,4,0.015267175572519083
2017-05,10,263,0,0.0
2017-06,1,262,1,0.003816793893129771
2017-06,10,263,1,0.0038022813688212928
2017-07,1,264,1,0.003787878787878788
2017-07,10,264,0,0.0
2017-08,1,267,0,0.0
2017-08,10,267,1,0.003745318352059925
2017-09,1,273,1,0.003663003663003663
2017-09,10,274,3,0.010948905109489052
2017-10,1,275,0,0.0
2017-10,10,276,0,0.0
