formation_month,holding_month,decile,n,ew_return,ew_market_return,ew_market_adjusted,vw_return,vw_available,effective_bins
2023-10,2023-11,2,469,0.04498651018078736,0.03634840331059544,0.008638106870191918,0.010190226857264778,True,10
2023-10,2023-11,3,469,0.03972196497156554,0.03634840331059544,0.003373561660970102,0.01019257431607213,True,10
2023-10,2023-11,4,469,0.03928220589715751,0.03634840331059544,0.002933802586562069,0.008084356281380108,True,10
2023-10,2023-11,5,470,0.03438362379810025,0.03634840331059544,-0.001964779512495192,-0.01217819439061984,True,10
2023-10,2023-11,6,469,0.033635842394577585,0.03634840331059544,-0.0027125609160178546,0.021737215312884153,True,10
2023-10,2023-11,7,469,0.03341188416444023,0.03634840331059544,-0.0029365191461552115,-0.006264523607993085,True,10
2023-10,2023-11,8,469,0.032994721183157966,0.03634840331059544,-0.003353682127437474,,False,10
2023-10,2023-11,9,469,0.03262612780281867,0.03634840331059544,-0.003722275507776769,-0.013181222193891758,True,10
2023-10,2023-11,10,470,0.040102736067981905,0.03634840331059544,0.003754332757386465,0.00823375641898561,True,10
2023-11,2023-12,1,471,-0.02279196691691725,-0.02043552461337411,-0.0023564423035431423,-0.035474713238879726,True,10
2023-11,2023-12,2,472,-0.0201637192660244,-0.02043552461337411,0.000271805347349708,-0.014053018962625447,True,10
2023-11,2023-12,3,472,-0.02534106531566845,-0.02043552461337411,-0.004905540702294341,-0.015169771151633886,True,10
2023-11,2023-12,4,471,-0.016900878940889714,-0.02043552461337411,0.003534645672484394,-0.010525601247473149,True,10
2023-11,2023-12,5,472,-0.025974502831440413,-0.02043552461337411,-0.0055389782180663046,,False,10
2023-11,2023-12,6,472,-0.018330676139387755,-0.02043552461337411,0.002104848473986353,-0.01775825169967682,True,10
2023-11,2023-12,7,471,-0.01780755399728135,-0.02043552461337411,0.002627970616092757,-0.01596794602065336,True,10
2023-11,2023-12,8,472,-0.015158882208692402,-0.02043552461337411,0.005276642404681706,-0.019481727980590707,True,10
2023-11,2023-12,9,472,-0.01968750258197684,-0.02043552461337411,0.0007480220313972677,-0.02543538666759952,True,10
2023-11,2023-12,10,472,-0.022190434007528133,-0.02043552461337411,-0.0017549093941540243,-0.04033698007553234,True,10
2023-12,2024-01,1,474,-0.22178939979600987,-0.18405382276071777,-0.037735577035292095,-0.2155058912342358,True,10
2023-12,2024-01,2,474,-0.18731194866991963,-0.18405382276071777,-0.0032581259092018533,-0.14189933914524094,True,10
2023-12,2024-01,3,474,-0.1759913186507375,-0.18405382276071777,0.008062504109980273,-0.11359775499078993,True,10
2023-12,2024-01,4,474,-0.16357194539531814,-0.18405382276071777,0.020481877365399637,-0.053529461979255455,True,10
2023-12,2024-01,5,475,-0.16933360294942196,-0.18405382276071777,0.014720219811295815,-0.0783273306172075,True,10
2023-12,2024-01,6,474,-0.16045714198894193,-0.18405382276071777,0.023596680771775846,-0.03866383441687432,True,10
2023-12,2024-01,7,474,-0.16747382593421942,-0.18405382276071777,0.016579996826498355,-0.06581871822329821,True,10
2023-12,2024-01,8,474,-0.17820710191608183,-0.18405382276071777,0.005846720844635944,-0.11827664161520532,True,10
2023-12,2024-01,9,474,-0.19833663575433522,-0.18405382276071777,-0.014282812993617444,,False,10
2023-12,2024-01,10,475,-0.21802469336486563,-0.18405382276071777,-0.03397087060414786,-0.16585246763279482,True,10
2024-01,2024-02,1,475,0.07103042890153606,0.059845569653526116,0.011184859248009944,0.11697692996837268,True,10
2024-01,2024-02,2,475,0.07475042741305707,0.059845569653526116,0.014904857759530953,0.09273439789966971,True,10
2024-01,2024-02,3,475,0.09294604592361431,0.059845569653526116,0.0331004762700882,0.11346677661414184,True,10
2024-01,2024-02,4,475,0.06968872837530679,0.059845569653526116,0.009843158721780675,0.08821387454857786,True,10
2024-01,2024-02,5,475,0.069064177102578,0.059845569653526116,0.00921860744905189,0.06989457054279456,True,10
2024-01,2024-02,6,475,0.06772633945542195,0.059845569653526116,0.00788076980189583,0.08848029420885786,True,10
2024-01,2024-02,7,475,0.06248900990006414,0.059845569653526116,0.002643440246538023,,False,10
2024-01,2024-02,8,475,0.04780793121612499,0.059845569653526116,-0.012037638437401126,0.08425950641609321,True,10
2024-01,2024-02,9,475,0.0362048545097312,0.059845569653526116,-0.023640715143794913,0.0933888367394404,True,10
2024-01,2024-02,10,475,0.0067477537378266015,0.059845569653526116,-0.053097815915699516,0.05868019277320043,True,10
2024-02,2024-03,1,476,0.04868137742580381,0.047685206919532645,0.0009961705062711615,0.0067373815148159,True,10
2024-02,2024-03,2,476,0.0552866564188665,0.047685206919532645,0.007601449499333855,0.03445479292555117,True,10
2024-02,2024-03,3,477,0.03910196915839413,0.047685206919532645,-0.008583237761138514,0.004894919162534582,True,10
2024-02,2024-03,4,476,0.049813710797685866,0.047685206919532645,0.0021285038781532206,0.019392926157983652,True,10
2024-02,2024-03,5,477,0.03202759674619104,0.047685206919532645,-0.015657610173341607,,False,10
