formation_month,holding_month,decile,n,below_30
2012-01,2012-02,7,190,False
2012-01,2012-02,8,190,False
2012-01,2012-02,9,190,False
2012-01,2012-02,10,190,False
2012-02,2012-03,1,192,False
2012-02,2012-03,2,193,False
2012-02,2012-03,3,193,False
2012-02,2012-03,4,193,False
2012-02,2012-03,5,193,False
2012-02,2012-03,6,192,False
2012-02,2012-03,7,193,False
2012-02,2012-03,8,193,False
2012-02,2012-03,9,192,False
2012-02,2012-03,10,193,False
2012-03,2012-04,1,196,False
2012-03,2012-04,2,196,False
2012-03,2012-04,3,196,False
2012-03,2012-04,4,197,False
2012-03,2012-04,5,196,False
2012-03,2012-04,6,196,False
2012-03,2012-04,7,197,False
2012-03,2012-04,8,196,False
2012-03,2012-04,9,196,False
2012-03,2012-04,10,196,False
2012-04,2012-05,1,197,False
2012-04,2012-05,2,198,False
2012-04,2012-05,3,198,False
2012-04,2012-05,4,197,False
2012-04,2012-05,5,198,False
2012-04,2012-05,6,198,False
2012-04,2012-05,7,197,False
2012-04,2012-05,8,198,False
2012-04,2012-05,9,198,False
2012-04,2012-05,10,198,False
2012-05,2012-06,1,200,False
2012-05,2012-06,2,201,False
2012-05,2012-06,3,200,False
2012-05,2012-06,4,201,False
2012-05,2012-06,5,201,False
2012-05,2012-06,6,200,False
2012-05,2012-06,7,201,False
2012-05,2012-06,8,200,False
2012-05,2012-06,9,201,False
2012-05,2012-06,10,201,False
2012-06,2012-07,1,204,False
2012-06,2012-07,2,204,False
2012-06,2012-07,3,204,False
2012-06,2012-07,4,205,False
2012-06,2012-07,5,204,False
2012-06,2012-07,6,204,False
2012-06,2012-07,7,205,False
2012-06,2012-07,8,204,False
2012-06,2012-07,9,204,False
2012-06,2012-07,10,205,False
2012-07,2012-08,1,207,False
2012-07,2012-08,2,207,False
2012-07,2012-08,3,207,False
2012-07,2012-08,4,207,False
2012-07,2012-08,5,207,False
2012-07,2012-08,6,207,False
2012-07,2012-08,7,207,False
2012-07,2012-08,8,207,False
2012-07,2012-08,9,207,False
2012-07,2012-08,10,208,False
2012-08,2012-09,1,211,False
2012-08,2012-09,2,212,False
2012-08,2012-09,3,212,False
2012-08,2012-09,4,212,False
2012-08,2012-09,5,212,False
2012-08,2012-09,6,211,False
2012-08,2012-09,7,212,False
2012-08,2012-09,8,212,False
2012-08,2012-09,9,212,False
2012-08,2012-09,10,212,False
2012-09,2012-10,1,214,False
2012-09,2012-10,2,214,False
2012-09,2012-10,3,214,False
2012-09,2012-10,4,214,False
2012-09,2012-10,5,215,False
2012-09,2012-10,6,214,False
2012-09,2012-10,7,214,False
2012-09,2012-10,8,214,False
2012-09,2012-10,9,214,False
2012-09,2012-10,10,215,False
2012-10,2012-11,1,215,False
2012-10,2012-11,2,216,False
2012-10,2012-11,3,215,False
2012-10,2012-11,4,216,False
2012-10,2012-11,5,215,False
2012-10,2012-11,6,216,False
2012-10,2012-11,7,215,False
2012-10,2012-11,8,216,False
2012-10,2012-11,9,215,False
2012-10,2012-11,10,216,False
2012-11,2012-12,1,218,False
2012-11,2012-12,2,218,False
2012-11,2012-12,3,218,False
2012-11,2012-12,4,218,False
2012-11,2012-12,5,219,False
2012-11,2012-12,6,218,False
2012-11,2012-12,7,218,False
2012-11,2012-12,8,218,False
2012-11,2012-12,9,218,False
2012-11,2012-12,10,219,False
2012-12,2013-01,1,219,False
2012-12,2013-01,2,220,False
2012-12,2013-01,3,220,False
2012-12,2013-01,4,220,False
2012-12,2013-01,5,220,False
2012-12,2013-01,6,219,False
2012-12,2013-01,7,220,False
2012-12,2013-01,8,220,False
2012-12,2013-01,9,220,False
2012-12,2013-01,10,220,False
2013-01,2013-02,1,220,False
2013-01,2013-02,2,221,False
2013-01,2013-02,3,221,False
2013-01,2013-02,4,220,False
2013-01,2013-02,5,221,False
2013-01,2013-02,6,221,False
2013-01,2013-02,7,220,False
2013-01,2013-02,8,221,False
2013-01,2013-02,9,221,False
2013-01,2013-02,10,221,False
2013-02,2013-03,1,222,False
2013-02,2013-03,2,222,False
2013-02,2013-03,3,222,False
2013-02,2013-03,4,223,False
2013-02,2013-03,5,222,False
2013-02,2013-03,6,222,False
2013-02,2013-03,7,223,False
2013-02,2013-03,8,222,False
2013-02,2013-03,9,222,False
2013-02,2013-03,10,223,False
2013-03,2013-04,1,225,False
2013-03,2013-04,2,225,False
2013-03,2013-04,3,225,False
2013-03,2013-04,4,226,False
2013-03,2013-04,5,225,False
2013-03,2013-04,6,225,False
2013-03,2013-04,7,226,False
2013-03,2013-04,8,225,False
2013-03,2013-04,9,225,False
2013-03,2013-04,10,226,False
2013-04,2013-05,1,227,False
2013-04,2013-05,2,227,False
2013-04,2013-05,3,228,False
2013-04,2013-05,4,227,False
2013-04,2013-05,5,228,False
2013-04,2013-05,6,227,False
2013-04,2013-05,7,227,False
2013-04,2013-05,8,228,False
2013-04,2013-05,9,227,False
2013-04,2013-05,10,228,False
2013-05,2013-06,1,230,False
2013-05,2013-06,2,231,False
2013-05,2013-06,3,231,False
2013-05,2013-06,4,230,False
2013-05,2013-06,5,231,False
2013-05,2013-06,6,231,False
2013-05,2013-06,7,230,False
2013-05,2013-06,8,231,False
2013-05,2013-06,9,231,False
2013-05,2013-06,10,231,False
2013-06,2013-07,1,231,False
2013-06,2013-07,2,231,False
2013-06,2013-07,3,231,False
2013-06,2013-07,4,231,False
2013-06,2013-07,5,231,False
2013-06,2013-07,6,231,False
2013-06,2013-07,7,231,False
2013-06,2013-07,8,231,False
2013-06,2013-07,9,231,False
2013-06,2013-07,10,232,False
2013-07,2013-08,1,233,False
2013-07,2013-08,2,234,False
2013-07,2013-08,3,233,False
2013-07,2013-08,4,234,False
2013-07,2013-08,5,234,False
2013-07,2013-08,6,233,False
2013-07,2013-08,7,234,False
2013-07,2013-08,8,233,False
2013-07,2013-08,9,234,False
2013-07,2013-08,10,234,False
2013-08,2013-09,1,235,False
2013-08,2013-09,2,235,False
2013-08,2013-09,3,235,False
2013-08,2013-09,4,236,False
2013-08,2013-09,5,235,False
2013-08,2013-09,6,235,False
2013-08,2013-09,7,236,False
2013-08,2013-09,8,235,False
2013-08,2013-09,9,235,False
2013-08,2013-09,10,236,False
2013-09,2013-10,1,235,False
