date,excluded,observations,excluded_pct
2016-11,1111,65443,1.6976605595709244
2016-12,1279,66300,1.9291101055806936
2017-01,1042,55145,1.88956387705141
2017-02,1003,55987,1.7914873095540036
2017-03,1035,72333,1.430882169963917
2017-04,1446,57431,2.5178039734638085
2017-05,1296,64587,2.006595754563612
2017-06,1014,71839,1.4114895808683305
2017-07,1244,69220,1.7971684484253105
2017-08,995,76668,1.2978035164605832
2017-09,971,70676,1.3738751485652838
2017-10,783,57756,1.3557033035528776
2017-11,1140,75518,1.5095738764268123
2017-12,802,72641,1.1040596908082214
2018-01,1085,76522,1.417892893546954
2018-02,1853,52393,3.5367320061840326
2018-03,1651,77058,2.1425419813646864
2018-04,1178,63196,1.8640420279764542
2018-05,1501,77444,1.9381746810598626
2018-06,2432,70570,3.446223607765339
2018-07,1684,77787,2.1648861634977568
2018-08,1223,81401,1.5024385449810198
2018-09,882,67406,1.3084888585585854
2018-10,2600,64017,4.061421184997735
2018-11,1930,78363,2.4628970304863262
2018-12,920,71375,1.2889667250437828
2019-01,1359,78684,1.7271618118041787
2019-02,1601,53822,2.9746200438482404
2019-03,3038,75501,4.023787764400471
2019-04,2572,75734,3.396096865344495
2019-05,3333,72374,4.6052449774781
2019-06,1878,68920,2.724898432965757
2019-07,1272,83825,1.5174470623322398
2019-08,1273,80850,1.5745207173778604
2019-09,1351,73718,1.8326595946715862
2019-10,1184,66550,1.7791134485349362
2019-11,1111,78246,1.4198808884799223
2019-12,1373,82515,1.6639398897170212
2020-01,1300,60272,2.15688877090523
2020-02,6070,75743,8.013941882418177
2020-03,2956,83676,3.5326736459677806
2020-04,2009,80227,2.5041444900095975
2020-05,2053,69187,2.967320450373625
2020-06,1943,77290,2.5139086557122527
2020-07,3559,89667,3.969130226281687
2020-08,2364,82891,2.8519380873677482
2020-09,1428,88164,1.6197087246495168
2020-10,802,64855,1.236604733636574
2020-11,1289,85654,1.504891773880963
2020-12,1977,94619,2.0894323550238325
2021-01,2288,83114,2.7528454893279113
2021-02,1819,62814,2.8958512433533925
2021-03,2267,96976,2.337691800032998
2021-04,2066,89509,2.308147784021718
2021-05,2045,77551,2.636974378151152
2021-06,2209,91324,2.418860321492707
2021-07,2266,96708,2.3431360383835877
2021-08,2314,97680,2.3689598689598688
2021-09,2388,89513,2.667768927418364
2021-10,1481,72132,2.053180280596684
2021-11,2104,99940,2.1052631578947367
2021-12,2448,105372,2.3231978134608813
2022-01,2010,87724,2.2912771875427476
2022-02,1541,74241,2.0756724720841584
2022-03,2398,107240,2.236105930622902
2022-04,3319,89268,3.7180176547026935
2022-05,2666,89683,2.9726927065330107
2022-06,2132,99343,2.1460998761865455
2022-07,2040,99327,2.0538222235645898
2022-08,2126,109581,1.9401173561110048
2022-09,1489,100950,1.4749876176324914
2022-10,1356,77472,1.7503097893432467
2022-11,1687,107080,1.5754576017930522
2022-12,1478,107595,1.373669780194247
2023-01,941,78525,1.198344476281439
2023-02,916,98388,0.9310078464853438
2023-03,851,113598,0.7491329072694942
2023-04,1146,94334,1.214832404011279
2023-05,1729,99726,1.7337504763050757
2023-06,1400,100189,1.3973589915060536
2023-07,994,105499,0.9421890254883932
2023-08,1050,115983,0.9053050878145934
2023-09,879,101169,0.8688432227263293
2023-10,1112,86188,1.2902028124564904
2023-11,1263,111722,1.1304845956928806
2023-12,1255,106875,1.1742690058479532
2024-01,1563,112231,1.3926633461343123
2024-02,4587,76612,5.987312692528586
2024-03,1839,107328,1.7134391771019677
2024-04,3036,102309,2.9674808667859134
2024-05,2037,102312,1.9909688013136289
2024-06,1818,97217,1.87004330518325
2024-07,1673,117557,1.4231394132208206
2024-08,1556,112304,1.385525003561761
2024-09,1535,96912,1.5839111771504044
2024-10,4637,91871,5.047294576090387
2024-11,3483,107321,3.245403974990915
2024-12,3017,112600,2.6793960923623446
2025-01,1854,92285,2.008993877661592
2025-02,1799,92371,1.94758095073129
2025-03,1838,107833,1.7044874945517607
2025-04,5273,108054,4.879967423695559
2025-05,1880,97801,1.9222707334280835
2025-06,1528,103015,1.4832791341066833
2025-07,1756,118454,1.4824319989194117
2025-08,1759,108198,1.625723211149929
2025-09,1834,113399,1.6172982125062831
2025-10,1364,87726,1.5548412101315459
2025-11,1877,103339,1.8163520065028693
2025-12,1905,118999,1.6008537886872998
2026-01,2328,103669,2.245608619741678
2026-02,1334,72637,1.8365295923565124
2026-03,1958,114206,1.7144458259636095
2026-04,1985,109150,1.8185982592762253
2026-05,2451,93684,2.616241834251313
2026-06,2988,109348,2.7325602663057396
2026-07,2400,83238,2.8832984934765373
