window,model,protocol,seeds,rank_ic,icir,long_short,ic_observations,rank_ic_std
5,LightGBM,canonical,1,0.10846242913072586,0.5663751084753615,0.0013923293582881599,600.0,0.0
5,LightGBM,delayed,1,0.03713305615392586,0.19957247093323494,0.00023177255391509038,600.0,0.0
5,MLP,canonical,5,0.10399628647351604,0.5274064608038251,0.00109007449433875,600.0,0.0017617177918289625
5,MLP,delayed,5,0.03753057186139398,0.19720459353852077,0.00013164336811283397,600.0,0.0023483311869672936
5,GRU,canonical,5,0.11047142557648429,0.5043526489907484,0.001183009127360242,600.0,0.0029659292959436996
5,GRU,delayed,5,0.04539401355651438,0.21312035050527448,0.00010705247664188452,600.0,0.0009792866295907224
6,Ridge,canonical,1,0.07818901893255316,0.3643421041487351,-0.0001719501185322076,605.0,0.0
6,Ridge,delayed,1,0.03154737092849744,0.15330871435567997,-0.0008279992459314828,605.0,0.0
6,LightGBM,canonical,1,0.09438365837829991,0.4221008712640542,0.0006279401897109446,605.0,0.0
6,LightGBM,delayed,1,0.044736090184527275,0.2092818304150101,-0.0002587764744381604,605.0,0.0
6,MLP,canonical,5,0.0830551794689325,0.3981071053025477,0.0007345630538831774,605.0,0.022322315031723588
6,MLP,delayed,5,0.03577432430351626,0.17454454557334048,-6.23836201983303e-05,605.0,0.01848589453459684
6,GRU,canonical,5,0.10464606758348236,0.4730596660617203,0.0009525757287404555,605.0,0.005095052497727342
6,GRU,delayed,5,0.05423966381303402,0.25521019339063106,2.3075770197650085e-05,605.0,0.0006692837824571467
7,Ridge,canonical,1,0.08814427761009641,0.4750395981041585,0.00048023442897065165,615.0,0.0
7,Ridge,delayed,1,0.03772695195859628,0.21191513843796594,-7.000179888628287e-05,615.0,0.0
7,LightGBM,canonical,1,0.10112643948491802,0.5058101342975545,0.0006387366647537694,615.0,0.0
7,LightGBM,delayed,1,0.058398375163359696,0.2944142356552505,4.665926370139254e-05,615.0,0.0
7,MLP,canonical,5,0.10118642537923372,0.4732465570607326,0.0007265095864832119,615.0,0.0013539479329607953
7,MLP,delayed,5,0.05728607298029568,0.2747526869438731,0.00013356541097628996,615.0,0.0016789042291562182
7,GRU,canonical,5,0.10952657990228361,0.4967635053271695,0.000750422936984954,615.0,0.0024986137975700133
7,GRU,delayed,5,0.0666025678962629,0.30684369092894004,0.0002327432317568543,615.0,0.0013467308569116761
8,Ridge,canonical,1,0.07574875340550029,0.33227981715780264,0.0003917463357648385,595.0,0.0
8,Ridge,delayed,1,0.04350308897571755,0.19610855133015806,3.4950124795412904e-05,595.0,0.0
8,LightGBM,canonical,1,0.0776691103388433,0.32038323839205624,0.0005526060526587312,595.0,0.0
8,LightGBM,delayed,1,0.04475278888542562,0.18664390376133946,6.594861632210189e-05,595.0,0.0
8,MLP,canonical,5,0.07565198850804714,0.31142351141246793,0.0005749387709657959,595.0,0.004928859319378554
8,MLP,delayed,5,0.043363299185658136,0.18153324237292298,8.539837672431381e-05,595.0,0.0036774167180308793
8,GRU,canonical,5,0.07859381264412775,0.32758676790778796,0.0004997365874772387,595.0,0.0036713536930963555
8,GRU,delayed,5,0.04621664694582018,0.19557633213095388,-5.015506906430416e-05,595.0,0.0021376366330443618
