window,model,protocol,seed_index,rank_ic,icir,long_short,ic_observations
5,MLP,delayed,3,0.03638476575356904,0.1938192273953849,7.558294835817761e-05,600
5,MLP,delayed,4,0.03881641509586702,0.20756350880802987,0.00010950739140448782,600
5,MLP,delayed,5,0.03887032721901855,0.2005234703872493,0.00014463642333025298,600
5,GRU,canonical,1,0.11066706808891706,0.5191431655531823,0.0011825331268817871,600
5,GRU,canonical,2,0.10701547257470372,0.4634910882817197,0.0010952299549112279,600
5,GRU,canonical,3,0.11312162908561854,0.5270458998292368,0.0011777712815507846,600
5,GRU,canonical,4,0.11360449650885347,0.5247527118304516,0.0012437413834373834,600
5,GRU,canonical,5,0.10794846162432861,0.4873303794591515,0.0012157698900200264,600
5,GRU,delayed,1,0.04533756442929409,0.21609239690112467,0.0001091197355169643,600
5,GRU,delayed,2,0.046406577650015705,0.20638908895445318,8.053009509026668e-05,600
5,GRU,delayed,3,0.0457946943011991,0.22073627234862273,5.7068438512238446e-05,600
5,GRU,delayed,4,0.04564474010184116,0.22025827776321985,0.00011450823938070865,600
5,GRU,delayed,5,0.043786491300221816,0.20212571655895192,0.0001740358747092445,600
6,Ridge,canonical,1,0.07818901893255316,0.3643421041487351,-0.0001719501185322076,605
6,Ridge,delayed,1,0.03154737092849744,0.15330871435567997,-0.0008279992459314828,605
6,LightGBM,canonical,1,0.09438365837829991,0.4221008712640542,0.0006279401897109446,605
6,LightGBM,delayed,1,0.044736090184527275,0.2092818304150101,-0.0002587764744381604,605
6,MLP,canonical,1,0.04375881289711029,0.2611219113512997,0.0006142212048057235,605
6,MLP,canonical,2,0.09360411609734602,0.4244514557462544,0.0007290478705556638,605
6,MLP,canonical,3,0.08990567378151357,0.42959024796598677,0.0007630419723305199,605
6,MLP,canonical,4,0.09905297082457086,0.43199384378001626,0.000810412991276065,605
6,MLP,canonical,5,0.0889543237441217,0.4433780676691813,0.000756091230447914,605
6,MLP,delayed,1,0.0038490322427258803,0.023932545249287118,-2.743337397017871e-05,605
6,MLP,delayed,2,0.04412385760714392,0.20783735552985824,-0.00011720736001108133,605
6,MLP,delayed,3,0.04262577570093946,0.21285228081355884,-3.2291923621676285e-05,605
6,MLP,delayed,4,0.050888536663485966,0.23120513911095783,-8.974445122913544e-06,605
6,MLP,delayed,5,0.03738441930328606,0.1968954071630405,-0.00012601099826580164,605
6,GRU,canonical,1,0.09622037280457141,0.4221150863477974,0.0007636038960013405,605
6,GRU,canonical,2,0.10809591961015101,0.48752690730023357,0.0009946413803426685,605
6,GRU,canonical,3,0.10402253232308666,0.4767678975442304,0.0008803268792799006,605
6,GRU,canonical,4,0.10900766488095515,0.4987687753988768,0.001188086643559287,605
6,GRU,canonical,5,0.10588384829864751,0.4801196637174635,0.0009362198445190809,605
6,GRU,delayed,1,0.05321014017509842,0.24297624145487076,-4.0449733571517894e-05,605
6,GRU,delayed,2,0.05493562661811406,0.2584131286887088,3.626911029345662e-05,605
6,GRU,delayed,3,0.05397641953859765,0.2581904979228134,-1.4946738054098308e-05,605
6,GRU,delayed,4,0.05453120114093266,0.2596219180825164,0.00014497660685723455,605
6,GRU,delayed,5,0.05454493159242735,0.25684918080424585,-1.0470394536824543e-05,605
7,Ridge,canonical,1,0.08814427761009641,0.4750395981041585,0.00048023442897065165,615
7,Ridge,delayed,1,0.03772695195859628,0.21191513843796594,-7.000179888628287e-05,615
7,LightGBM,canonical,1,0.10112643948491802,0.5058101342975545,0.0006387366647537694,615
7,LightGBM,delayed,1,0.058398375163359696,0.2944142356552505,4.665926370139254e-05,615
7,MLP,canonical,1,0.10287895507566788,0.49163494137858643,0.000798817857642363,615
7,MLP,canonical,2,0.09995010471332968,0.46184081624035583,0.0007070856916923396,615
7,MLP,canonical,3,0.09967371640228614,0.457436792454045,0.0007072289519712419,615
7,MLP,canonical,4,0.10193051086978672,0.47068281614041213,0.000762263713381372,615
7,MLP,canonical,5,0.10149883983509812,0.4846374190902635,0.0006571517177287432,615
7,MLP,delayed,1,0.05790462413169166,0.28255872647716695,0.00018175126074568287,615
7,MLP,delayed,2,0.05633477165070234,0.2673041855618803,0.00011399608321645318,615
7,MLP,delayed,3,0.05860732816377544,0.2756705198464403,0.00012223570622391686,615
7,MLP,delayed,4,0.058760704877959494,0.2800008866915789,0.00017191617413512018,615
7,MLP,delayed,5,0.05482293607734946,0.26822911614229894,7.792783056027666e-05,615
7,GRU,canonical,1,0.10668744745547772,0.4832858996367257,0.0007610611714707661,615
7,GRU,canonical,2,0.11047626217476587,0.5216648608118867,0.0007079014388578751,615
7,GRU,canonical,3,0.1119642884774366,0.5092198023210064,0.0008125345303039768,615
7,GRU,canonical,4,0.11147921937351421,0.507207391170251,0.0007476333759580969,615
7,GRU,canonical,5,0.10702568203022371,0.4624395726959779,0.0007229841683340551,615
7,GRU,delayed,1,0.0661123016138303,0.301747660830012,0.0002515619415550019,615
7,GRU,delayed,2,0.0649229668993919,0.30854105425825107,0.00017275155863123788,615
7,GRU,delayed,3,0.06688642135336527,0.30996368629503246,0.0002479830102811939,615
7,GRU,delayed,4,0.06862590314022717,0.3193386059081157,0.00020541458590138295,615
7,GRU,delayed,5,0.06646524647449988,0.2946274473532891,0.0002860050624154549,615
8,Ridge,canonical,1,0.07574875340550029,0.33227981715780264,0.0003917463357648385,595
8,Ridge,delayed,1,0.04350308897571755,0.19610855133015806,3.4950124795412904e-05,595
8,LightGBM,canonical,1,0.0776691103388433,0.32038323839205624,0.0005526060526587312,595
8,LightGBM,delayed,1,0.04475278888542562,0.18664390376133946,6.594861632210189e-05,595
8,MLP,canonical,1,0.07428917600516068,0.32052387944705396,0.0005059778097488469,595
8,MLP,canonical,2,0.07888828410338665,0.30740397238853734,0.0005082980182049189,595
8,MLP,canonical,3,0.0798129850997648,0.3303929799856962,0.0006117092569053433,595
8,MLP,canonical,4,0.06766874501630336,0.2785649972459276,0.0005346806645684574,595
8,MLP,canonical,5,0.07760075231562014,0.32023172799512467,0.0007140281054014127,595
8,MLP,delayed,1,0.04060630370221405,0.17670518332316612,-1.6551931792064105e-05,595
8,MLP,delayed,2,0.04880836277184926,0.19459038435450082,7.047653265358836e-05,595
8,MLP,delayed,3,0.0452721107875812,0.19102169680470255,0.00012708681720692485,595
8,MLP,delayed,4,0.039917118056384704,0.1694285283594312,9.746024663747254e-05,595
8,MLP,delayed,5,0.04221260061026144,0.1759204190228142,0.00014852021891564749,595
8,GRU,canonical,1,0.07801494733237457,0.32562927738370484,0.0004659281931353635,595
8,GRU,canonical,2,0.0725965504489456,0.3028680823350073,0.0003011980983780141,595
8,GRU,canonical,3,0.08070316616812656,0.32016827682383553,0.0005706839659473554,595
8,GRU,canonical,4,0.07956472078907786,0.33554688735055443,0.0005580265104545551,595
8,GRU,canonical,5,0.08208967848211413,0.3537213156458377,0.0006028461694709053,595
8,GRU,delayed,1,0.04611522309681975,0.1952536968585725,-9.572268285809046e-05,595
8,GRU,delayed,2,0.043675862657474335,0.18428837037712567,-0.0001861249678262655,595
8,GRU,delayed,3,0.04960889783246142,0.20089660792626557,6.023821803538488e-05,595
8,GRU,delayed,4,0.045949888588585175,0.19706433830094772,-1.776112125201774e-06,595
8,GRU,delayed,5,0.0457333625537602,0.20037864719185808,-2.7389800547347933e-05,595
