month,decile,stocks,overlap_with_prior_month,one_way_turnover
2026-06,2,492,66,0.8658536585365854
2026-07,2,492,55,0.8882113821138211
2010-02,3,144,19,0.8680555555555556
2010-03,3,144,14,0.9027777777777778
2010-04,3,144,15,0.8958333333333334
2010-05,3,141,23,0.8368794326241135
2010-06,3,141,14,0.900709219858156
2010-07,3,142,10,0.9295774647887324
2010-08,3,143,12,0.916083916083916
2010-09,3,144,19,0.8680555555555556
2010-10,3,144,19,0.8680555555555556
2010-11,3,148,24,0.8378378378378378
2010-12,3,151,22,0.8543046357615894
2011-01,3,155,16,0.896774193548387
2011-02,3,157,20,0.8726114649681529
2011-03,3,159,18,0.8867924528301887
2011-04,3,163,11,0.9325153374233128
2011-05,3,165,19,0.8848484848484849
2011-06,3,168,23,0.8630952380952381
2011-07,3,172,18,0.8953488372093024
2011-08,3,175,20,0.8857142857142857
2011-09,3,178,21,0.8820224719101124
2011-10,3,180,18,0.9
2011-11,3,183,23,0.8743169398907104
2011-12,3,187,23,0.8770053475935828
2012-01,3,190,29,0.8473684210526315
2012-02,3,193,22,0.8860103626943006
2012-03,3,196,25,0.8724489795918368
2012-04,3,198,26,0.8686868686868687
2012-05,3,200,17,0.915
2012-06,3,204,16,0.9215686274509804
2012-07,3,207,25,0.8792270531400966
2012-08,3,212,22,0.8962264150943396
2012-09,3,214,22,0.897196261682243
2012-10,3,215,13,0.9395348837209302
2012-11,3,218,27,0.8761467889908257
2012-12,3,220,24,0.8909090909090909
2013-01,3,221,23,0.8959276018099548
2013-02,3,222,15,0.9324324324324325
2013-03,3,225,24,0.8933333333333333
2013-04,3,228,22,0.9035087719298246
2013-05,3,231,22,0.9047619047619048
2013-06,3,231,29,0.8744588744588745
2013-07,3,233,31,0.8669527896995708
2013-08,3,235,35,0.851063829787234
2013-09,3,235,30,0.8723404255319149
2013-10,3,236,32,0.864406779661017
2013-11,3,235,30,0.8723404255319149
2013-12,3,236,29,0.8771186440677966
2014-01,3,236,26,0.8898305084745762
2014-02,3,234,28,0.8803418803418803
2014-03,3,235,19,0.9191489361702128
2014-04,3,233,28,0.8798283261802575
2014-05,3,229,27,0.8820960698689957
2014-06,3,230,25,0.8913043478260869
2014-07,3,231,29,0.8744588744588745
2014-08,3,231,18,0.922077922077922
2014-09,3,232,23,0.9008620689655172
2014-10,3,228,23,0.8991228070175439
2014-11,3,227,31,0.8634361233480177
2014-12,3,230,31,0.8652173913043478
2015-01,3,232,27,0.8836206896551724
2015-02,3,229,21,0.9082969432314411
2015-03,3,232,37,0.8405172413793103
2015-04,3,232,28,0.8793103448275862
2015-05,3,228,22,0.9035087719298246
2015-06,3,226,24,0.8938053097345133
2015-07,3,218,32,0.8532110091743119
2015-08,3,215,28,0.8697674418604651
2015-09,3,216,21,0.9027777777777778
2015-10,3,222,27,0.8783783783783784
2015-11,3,230,29,0.8739130434782609
2015-12,3,238,25,0.8949579831932774
2016-01,3,241,29,0.8796680497925311
2016-02,3,242,27,0.8884297520661157
2016-03,3,245,30,0.8775510204081632
2016-04,3,247,26,0.8947368421052632
2016-05,3,247,28,0.8866396761133604
2016-06,3,253,35,0.8616600790513834
2016-07,3,255,31,0.8784313725490196
2016-08,3,257,41,0.8404669260700389
2016-09,3,258,35,0.8643410852713178
2016-10,3,257,26,0.8988326848249028
2016-11,3,261,33,0.8735632183908046
2016-12,3,263,31,0.8821292775665399
2017-01,3,262,45,0.8282442748091603
2017-02,3,261,29,0.8888888888888888
2017-03,3,264,30,0.8863636363636364
2017-04,3,265,37,0.8603773584905661
2017-05,3,262,39,0.851145038167939
2017-06,3,262,37,0.8587786259541985
2017-07,3,265,28,0.8943396226415095
2017-08,3,268,30,0.8880597014925373
2017-09,3,274,35,0.8722627737226277
2017-10,3,275,35,0.8727272727272728
2017-11,3,281,34,0.8790035587188612
2017-12,3,283,31,0.8904593639575972
2018-01,3,289,37,0.8719723183391004
2018-02,3,289,30,0.8961937716262975
2018-03,3,291,38,0.8694158075601375
2018-04,3,295,36,0.8779661016949153
2018-05,3,302,40,0.8675496688741722
2018-06,3,307,32,0.8957654723127035
2018-07,3,311,33,0.8938906752411575
2018-08,3,318,37,0.8836477987421384
2018-09,3,323,38,0.8823529411764706
2018-10,3,328,38,0.8841463414634146
2018-11,3,334,44,0.8682634730538922
2018-12,3,337,40,0.8813056379821959
2019-01,3,339,48,0.8584070796460177
2019-02,3,340,47,0.861764705882353
2019-03,3,341,32,0.906158357771261
2019-04,3,342,52,0.847953216374269
2019-05,3,338,31,0.908284023668639
2019-06,3,338,35,0.8964497041420119
2019-07,3,339,48,0.8584070796460177
2019-08,3,339,33,0.9026548672566371
2019-09,3,340,36,0.8941176470588236
2019-10,3,341,35,0.8973607038123167
2019-11,3,341,36,0.8944281524926686
2019-12,3,342,40,0.8830409356725146
2020-01,3,343,34,0.9008746355685131
