model,formation_month,decile,stocks,overlap,one_way_turnover
lightgbm,2019-12,1,341,155,0.5454545454545454
lightgbm,2020-01,1,342,149,0.564327485380117
lightgbm,2020-02,1,343,128,0.6268221574344024
lightgbm,2020-03,1,344,90,0.7383720930232558
lightgbm,2020-04,1,345,129,0.6260869565217391
lightgbm,2020-05,1,340,124,0.6352941176470588
lightgbm,2020-06,1,341,139,0.5923753665689149
lightgbm,2020-07,1,343,100,0.7084548104956268
lightgbm,2020-08,1,344,101,0.7063953488372092
lightgbm,2020-09,1,345,104,0.6985507246376812
lightgbm,2020-10,1,346,166,0.5202312138728324
lightgbm,2020-11,1,349,118,0.66189111747851
lightgbm,2020-12,1,352,130,0.6306818181818181
lightgbm,2021-01,1,354,126,0.6440677966101696
lightgbm,2021-02,1,356,120,0.6629213483146068
lightgbm,2021-03,1,358,125,0.6508379888268156
lightgbm,2021-04,1,362,120,0.6685082872928176
lightgbm,2021-05,1,361,160,0.556786703601108
lightgbm,2021-06,1,366,144,0.6065573770491803
lightgbm,2021-07,1,370,139,0.6243243243243244
lightgbm,2021-08,1,377,140,0.6286472148541113
lightgbm,2021-09,1,383,126,0.6710182767624021
lightgbm,2021-10,1,385,140,0.6363636363636364
lightgbm,2021-11,1,388,134,0.654639175257732
lightgbm,2021-12,1,393,102,0.7404580152671756
lightgbm,2022-01,1,396,132,0.6666666666666667
lightgbm,2022-02,1,399,150,0.6240601503759399
lightgbm,2022-03,1,403,159,0.6054590570719602
lightgbm,2022-04,1,409,144,0.647921760391198
lightgbm,2022-05,1,412,172,0.5825242718446602
lightgbm,2022-06,1,417,153,0.6330935251798562
lightgbm,2022-07,1,421,163,0.6128266033254157
lightgbm,2022-08,1,426,138,0.676056338028169
lightgbm,2022-09,1,430,164,0.6186046511627907
lightgbm,2022-10,1,434,158,0.6359447004608295
lightgbm,2022-11,1,438,158,0.639269406392694
lightgbm,2022-12,1,442,187,0.5769230769230769
lightgbm,2023-01,1,445,173,0.6112359550561798
lightgbm,2023-02,1,446,153,0.6569506726457399
lightgbm,2023-03,1,450,173,0.6155555555555556
lightgbm,2023-04,1,454,222,0.5110132158590308
lightgbm,2023-05,1,451,205,0.5454545454545454
lightgbm,2023-06,1,455,221,0.5142857142857142
lightgbm,2023-07,1,457,144,0.6849015317286652
lightgbm,2023-08,1,461,136,0.7049891540130152
lightgbm,2023-09,1,465,149,0.6795698924731183
lightgbm,2023-10,1,468,200,0.5726495726495726
lightgbm,2023-11,1,471,211,0.5520169851380042
lightgbm,2023-12,1,474,172,0.6371308016877637
lightgbm,2024-01,1,474,154,0.6751054852320675
lightgbm,2024-02,1,476,153,0.6785714285714286
lightgbm,2024-03,1,478,198,0.5857740585774058
lightgbm,2024-04,1,481,145,0.6985446985446986
lightgbm,2024-05,1,477,143,0.70020964360587
lightgbm,2024-06,1,481,159,0.6694386694386694
lightgbm,2024-07,1,485,169,0.6515463917525773
lightgbm,2024-08,1,487,154,0.6837782340862423
lightgbm,2024-09,1,489,177,0.6380368098159509
lightgbm,2024-10,1,489,148,0.6973415132924335
lightgbm,2024-11,1,490,120,0.7551020408163265
lightgbm,2024-12,1,491,166,0.6619144602851323
lightgbm,2025-01,1,492,197,0.5995934959349594
lightgbm,2025-02,1,492,208,0.5772357723577235
lightgbm,2025-03,1,493,164,0.6673427991886409
lightgbm,2025-04,1,493,163,0.6693711967545639
lightgbm,2025-05,1,486,159,0.6728395061728395
lightgbm,2025-06,1,488,172,0.6475409836065573
lightgbm,2025-07,1,489,174,0.6441717791411044
lightgbm,2025-08,1,489,188,0.6155419222903886
lightgbm,2025-09,1,490,168,0.6571428571428571
lightgbm,2025-10,1,490,151,0.6918367346938776
lightgbm,2025-11,1,490,179,0.6346938775510205
lightgbm,2025-12,1,492,181,0.6321138211382114
lightgbm,2026-01,1,492,186,0.6219512195121951
lightgbm,2026-02,1,492,205,0.5833333333333333
lightgbm,2026-03,1,493,175,0.6450304259634889
lightgbm,2026-04,1,495,194,0.608080808080808
lightgbm,2026-05,1,487,167,0.6570841889117043
lightgbm,2026-06,1,491,185,0.6232179226069247
lightgbm,2013-02,10,222,49,0.7792792792792793
lightgbm,2013-03,10,225,63,0.72
lightgbm,2013-04,10,227,61,0.7312775330396476
lightgbm,2013-05,10,231,65,0.7186147186147186
lightgbm,2013-06,10,231,60,0.7402597402597403
lightgbm,2013-07,10,233,54,0.7682403433476395
lightgbm,2013-08,10,235,45,0.8085106382978724
lightgbm,2013-09,10,235,56,0.7617021276595745
lightgbm,2013-10,10,236,56,0.7627118644067796
lightgbm,2013-11,10,235,69,0.7063829787234043
lightgbm,2013-12,10,236,86,0.6355932203389831
lightgbm,2014-01,10,235,84,0.6425531914893616
lightgbm,2014-02,10,233,81,0.6523605150214593
lightgbm,2014-03,10,235,74,0.6851063829787234
lightgbm,2014-04,10,233,78,0.6652360515021459
lightgbm,2014-05,10,229,82,0.6419213973799127
lightgbm,2014-06,10,230,92,0.6
lightgbm,2014-07,10,230,77,0.6652173913043478
lightgbm,2014-08,10,230,70,0.6956521739130435
lightgbm,2014-09,10,230,71,0.691304347826087
lightgbm,2014-10,10,227,69,0.696035242290749
lightgbm,2014-11,10,227,78,0.6563876651982379
lightgbm,2014-12,10,229,71,0.6899563318777293
lightgbm,2015-01,10,231,69,0.7012987012987013
lightgbm,2015-02,10,229,85,0.62882096069869
lightgbm,2015-03,10,230,67,0.7086956521739131
lightgbm,2015-04,10,229,61,0.7336244541484715
lightgbm,2015-05,10,224,47,0.7901785714285714
lightgbm,2015-06,10,222,53,0.7612612612612613
lightgbm,2015-07,10,213,32,0.8497652582159625
lightgbm,2015-08,10,214,35,0.8364485981308412
lightgbm,2015-09,10,214,34,0.8411214953271028
lightgbm,2015-10,10,219,44,0.7990867579908676
lightgbm,2015-11,10,228,62,0.7280701754385965
lightgbm,2015-12,10,237,60,0.7468354430379747
lightgbm,2016-01,10,240,72,0.7
lightgbm,2016-02,10,240,72,0.7
lightgbm,2016-03,10,245,83,0.6612244897959183
lightgbm,2016-04,10,246,93,0.6219512195121951
lightgbm,2016-05,10,247,73,0.7044534412955465
lightgbm,2016-06,10,251,89,0.6454183266932271
lightgbm,2016-07,10,255,101,0.603921568627451
lightgbm,2016-08,10,257,116,0.5486381322957199
lightgbm,2016-09,10,258,122,0.5271317829457365
lightgbm,2016-10,10,257,124,0.5175097276264591
lightgbm,2016-11,10,260,119,0.5423076923076924
lightgbm,2016-12,10,262,107,0.5916030534351144
lightgbm,2017-01,10,262,127,0.5152671755725191
lightgbm,2017-02,10,261,128,0.5095785440613028
lightgbm,2017-03,10,264,123,0.5340909090909092
lightgbm,2017-04,10,264,111,0.5795454545454546
lightgbm,2017-05,10,262,125,0.5229007633587786
lightgbm,2017-06,10,263,112,0.5741444866920152
lightgbm,2017-07,10,265,133,0.4981132075471698
lightgbm,2017-08,10,268,136,0.4925373134328358
lightgbm,2017-09,10,273,133,0.5128205128205128
lightgbm,2017-10,10,275,123,0.5527272727272727
lightgbm,2017-11,10,281,132,0.5302491103202847
lightgbm,2017-12,10,283,152,0.46289752650176674
lightgbm,2018-01,10,289,123,0.57439446366782
lightgbm,2018-02,10,286,116,0.5944055944055944
lightgbm,2018-03,10,291,117,0.5979381443298969
lightgbm,2018-04,10,295,129,0.5627118644067797
lightgbm,2018-05,10,301,114,0.6212624584717608
lightgbm,2018-06,10,306,123,0.5980392156862745
lightgbm,2018-07,10,310,131,0.5774193548387097
lightgbm,2018-08,10,318,142,0.5534591194968553
lightgbm,2018-09,10,324,136,0.5802469135802469
lightgbm,2018-10,10,328,139,0.5762195121951219
lightgbm,2018-11,10,334,129,0.6137724550898204
lightgbm,2018-12,10,337,147,0.5637982195845697
lightgbm,2019-01,10,339,154,0.5457227138643068
lightgbm,2019-02,10,340,146,0.5705882352941176
lightgbm,2019-03,10,341,161,0.5278592375366569
lightgbm,2019-04,10,343,130,0.6209912536443148
lightgbm,2019-05,10,338,147,0.5650887573964497
lightgbm,2019-06,10,339,133,0.6076696165191741
lightgbm,2019-07,10,339,126,0.6283185840707964
lightgbm,2019-08,10,340,146,0.5705882352941176
lightgbm,2019-09,10,340,167,0.5088235294117647
lightgbm,2019-10,10,341,156,0.5425219941348973
lightgbm,2019-11,10,341,157,0.5395894428152492
lightgbm,2019-12,10,342,174,0.49122807017543857
lightgbm,2020-01,10,343,169,0.5072886297376094
lightgbm,2020-02,10,344,143,0.5843023255813953
lightgbm,2020-03,10,345,115,0.6666666666666667
lightgbm,2020-04,10,346,123,0.6445086705202312
