model,formation_month,holding_month,ic,n
cto_sort,2025-02,2025-03,0.0635835674830748,4927
cto_sort,2025-03,2025-04,0.1080656839576694,4933
cto_sort,2025-04,2025-05,0.029272004035340977,4932
cto_sort,2025-05,2025-06,0.12615541130774294,4866
cto_sort,2025-06,2025-07,0.13250226579648408,4888
cto_sort,2025-07,2025-08,-0.07815885719078408,4891
cto_sort,2025-08,2025-09,0.17657788808765348,4897
cto_sort,2025-09,2025-10,0.006092042068779328,4903
cto_sort,2025-10,2025-11,0.05604460954456026,4904
cto_sort,2025-11,2025-12,-0.03533710938300504,4909
cto_sort,2025-12,2026-01,0.0989947616724102,4921
cto_sort,2026-01,2026-02,0.01620841127013615,4925
cto_sort,2026-02,2026-03,0.09697095520318404,4924
cto_sort,2026-03,2026-04,0.02357375559286589,4937
cto_sort,2026-04,2026-05,0.14378202859298786,4950
cto_sort,2026-05,2026-06,0.07107534876723423,4874
cto_sort,2026-06,2026-07,0.07049246442884312,4915
lightgbm,2013-01,2013-02,0.03496492269364467,2197
lightgbm,2013-02,2013-03,0.13077200320972757,2214
lightgbm,2013-03,2013-04,0.06419639784664587,2242
lightgbm,2013-04,2013-05,0.07312745604702714,2263
lightgbm,2013-05,2013-06,-0.05218204965046229,2302
lightgbm,2013-06,2013-07,0.05102566602253234,2304
lightgbm,2013-07,2013-08,0.14307107183531514,2330
lightgbm,2013-08,2013-09,0.07182894716989749,2342
lightgbm,2013-09,2013-10,0.1685649026339068,2345
lightgbm,2013-10,2013-11,0.2151687998120552,2354
lightgbm,2013-11,2013-12,0.15054952545511935,2344
lightgbm,2013-12,2014-01,0.11143877609878458,2353
lightgbm,2014-01,2014-02,0.22637333965709133,2350
lightgbm,2014-02,2014-03,0.20083781256493421,2324
lightgbm,2014-03,2014-04,0.08363130096308732,2347
lightgbm,2014-04,2014-05,0.1423630929400589,2322
lightgbm,2014-05,2014-06,0.20618132288879096,2286
lightgbm,2014-06,2014-07,0.06701500710917842,2296
lightgbm,2014-07,2014-08,0.3002174167179041,2298
lightgbm,2014-08,2014-09,0.22477174122660304,2293
lightgbm,2014-09,2014-10,0.08116803984046042,2299
lightgbm,2014-10,2014-11,0.030954857921527783,2267
lightgbm,2014-11,2014-12,-0.2582377852302514,2267
lightgbm,2014-12,2015-01,0.21851330574029387,2287
lightgbm,2015-01,2015-02,0.00811202247250146,2302
lightgbm,2015-02,2015-03,0.11849335006531178,2284
lightgbm,2015-03,2015-04,0.08134407974599771,2299
lightgbm,2015-04,2015-05,0.2510199937473307,2287
lightgbm,2015-05,2015-06,0.06264146328182904,2235
lightgbm,2015-06,2015-07,0.05358820591315158,2218
lightgbm,2015-07,2015-08,0.1368737665908117,2124
lightgbm,2015-08,2015-09,0.21403070242880642,2134
lightgbm,2015-09,2015-10,0.1156024046291186,2134
lightgbm,2015-10,2015-11,0.2217382287472009,2190
lightgbm,2015-11,2015-12,0.32533696995550804,2273
lightgbm,2015-12,2016-01,0.05650678807457459,2364
lightgbm,2016-01,2016-02,0.09003889805423104,2392
lightgbm,2016-02,2016-03,0.25408906283536425,2399
lightgbm,2016-03,2016-04,0.2670073263876877,2446
lightgbm,2016-04,2016-05,0.022871322055501235,2456
lightgbm,2016-05,2016-06,0.1736942802975269,2468
lightgbm,2016-06,2016-07,0.1301139311679077,2503
lightgbm,2016-07,2016-08,0.24869039529164755,2543
lightgbm,2016-08,2016-09,0.2592944251716528,2563
lightgbm,2016-09,2016-10,0.17666173976900548,2573
lightgbm,2016-10,2016-11,0.14141553039193094,2566
lightgbm,2016-11,2016-12,0.06600993209456317,2600
lightgbm,2016-12,2017-01,-0.13460086392600246,2619
lightgbm,2017-01,2017-02,0.05409808520844662,2617
lightgbm,2017-02,2017-03,-0.0467651150377606,2606
lightgbm,2017-03,2017-04,-0.15716795918749144,2632
lightgbm,2017-04,2017-05,-0.07426433917851044,2638
lightgbm,2017-05,2017-06,0.03260882752799706,2618
lightgbm,2017-06,2017-07,-0.12483441023638163,2622
lightgbm,2017-07,2017-08,0.2523535086131814,2646
lightgbm,2017-08,2017-09,0.10845460812346802,2675
lightgbm,2017-09,2017-10,0.14739889761660732,2725
lightgbm,2017-10,2017-11,-0.08492671922597696,2748
lightgbm,2017-11,2017-12,-0.07227673234967211,2805
lightgbm,2017-12,2018-01,-0.04081870641424529,2824
lightgbm,2018-01,2018-02,-0.11802515157509878,2881
lightgbm,2018-02,2018-03,0.2712348166535467,2853
lightgbm,2018-03,2018-04,0.051949232697344624,2904
lightgbm,2018-04,2018-05,0.16493509930914477,2945
lightgbm,2018-05,2018-06,-0.04678836084542113,3010
lightgbm,2018-06,2018-07,0.16705996528888026,3057
lightgbm,2018-07,2018-08,-0.012828853936256285,3097
lightgbm,2018-08,2018-09,0.022025717725089433,3172
lightgbm,2018-09,2018-10,0.20708180376536206,3231
lightgbm,2018-10,2018-11,0.211607976950386,3276
lightgbm,2018-11,2018-12,0.1732695255755487,3340
lightgbm,2018-12,2019-01,-0.009250724146037764,3369
lightgbm,2019-01,2019-02,-0.01784916890834751,3389
lightgbm,2019-02,2019-03,0.12439540414115519,3400
lightgbm,2019-03,2019-04,0.09675625252933509,3410
lightgbm,2019-04,2019-05,0.21356363759623934,3424
lightgbm,2019-05,2019-06,0.10782135070683063,3377
lightgbm,2019-06,2019-07,0.12912113152142346,3382
lightgbm,2019-07,2019-08,-0.046468171853552065,3385
lightgbm,2019-08,2019-09,0.13411145130410895,3391
lightgbm,2019-09,2019-10,0.08345597198150007,3399
lightgbm,2019-10,2019-11,0.014793747883768589,3406
lightgbm,2019-11,2019-12,0.03325788222667974,3408
lightgbm,2019-12,2020-01,-0.05540625073524467,3416
lightgbm,2020-01,2020-02,-0.17191500587897213,3425
lightgbm,2020-02,2020-03,0.36291527172394333,3433
lightgbm,2020-03,2020-04,-0.03217280390262716,3444
lightgbm,2020-04,2020-05,0.15932803054390274,3457
lightgbm,2020-05,2020-06,-0.05946522490296549,3403
lightgbm,2020-06,2020-07,0.11763855046301788,3417
lightgbm,2020-07,2020-08,0.20782585463360562,3439
lightgbm,2020-08,2020-09,0.04323256639146493,3447
lightgbm,2020-09,2020-10,-0.014638467740309243,3455
lightgbm,2020-10,2020-11,0.1606520702617384,3464
