code,month,holding_month,out_date,holding_end_date,next_month_return,return_observed,holding_end_is_before_month_end
600555,2022-06,2022-07,2022-07-13,2022-07-13,-0.03703703703703698,True,True
600090,2022-06,2022-07,2022-07-07,2022-07-07,0.0,True,True
000673,2022-06,2022-07,2022-07-04,2022-07-04,0.0869565217391306,True,True
300202,2022-06,2022-07,2022-07-04,2022-07-04,-0.019607843137254943,True,True
002499,2023-03,2023-04,2023-04-18,2023-04-18,0.22857142857142865,True,True
300330,2023-04,2023-05,2023-05-24,2023-05-24,0.051502145922746934,True,True
600532,2023-05,2023-06,2023-06-28,2023-06-28,0.14285714285714302,True,True
600242,2023-05,2023-06,2023-06-29,2023-06-29,-0.10714285714285698,True,True
600767,2023-05,2023-06,2023-06-29,2023-06-29,-0.06666666666666665,True,True
600781,2023-05,2023-06,2023-06-28,2023-06-28,0.2222222222222221,True,True
688086,2023-06,2023-07,2023-07-07,2023-07-07,0.0,True,True
688555,2023-06,2023-07,2023-07-07,2023-07-07,0.0,True,True
300526,2023-06,2023-07,2023-07-12,2023-07-12,-0.26315789473684215,True,True
000038,2023-06,2023-07,2023-07-12,2023-07-12,-0.14754098360655732,True,True
000606,2023-06,2023-07,2023-07-06,2023-07-06,0.16666666666666674,True,True
000806,2023-06,2023-07,2023-07-06,2023-07-06,-0.0444444444444444,True,True
002411,2023-06,2023-07,2023-07-12,2023-07-12,-0.2530120481927711,True,True
002417,2023-06,2023-07,2023-07-10,2023-07-10,0.09756097560975618,True,True
002781,2023-06,2023-07,2023-07-05,2023-07-05,0.0,True,True
300089,2023-06,2023-07,2023-07-13,2023-07-13,-0.17391304347826086,True,True
300273,2023-06,2023-07,2023-07-06,2023-07-06,-0.07317073170731703,True,True
002751,2023-06,2023-07,2023-07-13,2023-07-13,-0.2321428571428572,True,True
300392,2023-06,2023-07,2023-07-10,2023-07-10,-0.12499999999999989,True,True
300336,2023-06,2023-07,2023-07-05,2023-07-05,0.04166666666666652,True,True
002089,2024-03,2024-04,2024-04-18,2024-04-18,0.09090909090909083,True,True
603603,2024-03,2024-04,2024-04-25,2024-04-25,-0.22000000000000008,True,True
600321,2024-05,2024-06,2024-06-27,2024-06-27,0.0,True,True
600306,2024-05,2024-06,2024-06-26,2024-06-26,-0.19444444444444453,True,True
300282,2024-06,2024-07,2024-07-18,2024-07-18,-0.48,True,True
600647,2024-06,2024-07,2024-07-03,2024-07-03,0.0,True,True
002433,2024-06,2024-07,2024-07-05,2024-07-05,-0.06896551724137934,True,True
600766,2024-06,2024-07,2024-07-03,2024-07-03,0.0,True,True
603133,2024-06,2024-07,2024-07-03,2024-07-03,0.0,True,True
000861,2024-08,2024-09,2024-09-18,2024-09-18,0.0,True,True
600225,2025-02,2025-03,2025-03-06,2025-03-06,0.0,True,True
600811,2025-03,2025-04,2025-04-30,2025-04-30,-0.34545454545454546,True,False
300630,2025-04,2025-05,2025-05-22,2025-05-21,0.27142857142857135,True,True
000622,2025-06,2025-07,2025-07-16,2025-07-15,-0.0625,True,True
000584,2025-06,2025-07,2025-07-11,2025-07-10,0.3181818181818181,True,True
600190,2025-06,2025-07,2025-07-25,2025-07-24,0.6153846153846156,True,True
603003,2025-06,2025-07,2025-07-03,2025-07-02,0.0,True,True
600387,2025-06,2025-07,2025-07-11,2025-07-10,0.021739130434782705,True,True
600804,2025-06,2025-07,2025-07-03,2025-07-02,0.0,True,True
300208,2025-06,2025-07,2025-07-21,2025-07-18,0.07692307692307687,True,True
600462,2025-06,2025-07,2025-07-21,2025-07-18,0.3999999999999999,True,True
002336,2025-06,2025-07,2025-07-04,2025-07-03,0.02857142857142847,True,True
300280,2025-09,2025-10,2025-10-14,2025-10-13,-0.13157894736842102,True,True
300379,2025-12,2026-01,2026-01-22,2026-01-21,0.3870967741935485,True,True
300391,2026-03,2026-04,2026-04-13,2026-04-10,-0.40625,True,True
300344,2026-03,2026-04,2026-04-22,2026-04-21,-0.5,True,True
688287,2026-05,2026-06,2026-06-10,2026-06-09,0.05714285714285694,True,True
